,0,1,2,3,4,5
0,55.194305,18.568512,21.08659,43.729645,10.298745,8.995179
1,7.6677165,11.4219055,5.438067,49.134773,10.24933,3.291125
2,4.862807,9.006824,4.44984,58.971233,8.262069,3.8180256
3,3.4619527,11.345758,6.986468,30.103928,17.98417,5.9339824
4,0.69815105,7.9834585,8.888806,0.4365436,3.6907072,2.874235
5,8.339606,11.893329,6.8578353,68.13093,14.729021,4.716396
6,6.892635,12.432059,7.261029,70.3083,13.287952,7.365403
7,5.705397,13.385094,6.9431357,66.337616,14.1616,5.6230884
8,5.9930983,14.314343,7.442716,65.170166,15.324903,5.51016
9,7.308867,14.978886,8.110768,56.520767,18.264301,5.678666
10,9.489372,14.007359,6.713416,59.505096,16.35584,6.601225
11,25.22744,14.205681,7.3912597,56.656464,13.37401,6.800119
12,7.18151,10.565063,6.4801664,66.59644,14.882529,5.322727
13,6.8593564,10.913556,6.777785,69.369316,15.558871,6.808306
14,5.58419,13.296181,7.49832,67.98951,16.317244,6.1791725
15,11.840575,12.31291,6.5294957,55.722095,15.106729,3.9281757
16,60.087727,20.794436,23.807917,91.506676,16.546246,11.360855
17,91.567505,30.253212,37.830807,66.308784,25.466959,8.273246
18,84.70056,28.474218,35.190857,64.719,27.472511,8.931327
19,19.429018,17.902407,16.429852,84.60791,18.554308,10.342117
20,91.02307,31.008045,37.222763,75.13433,19.422216,6.940909
21,11.806526,12.206774,6.2395988,55.157047,15.005089,4.571808
22,10.43104,11.958868,7.318153,74.023544,17.870337,6.375681
23,12.381294,10.766138,7.094157,85.5868,17.765453,11.17323
24,85.56637,28.494503,31.824621,85.790276,15.149634,6.419433
25,97.81039,30.091558,34.65118,62.071945,20.565958,6.625656
26,19.650005,17.141954,13.406392,90.34421,20.067833,8.279836
27,5.925168,1.8000678,1.8823048,-0.24839649,5.4663744,0.9978806
28,11.131334,12.235509,5.7256675,53.22754,15.163707,4.811286
29,84.947845,26.745672,27.499891,69.798454,20.894697,4.8576064
30,79.636154,24.964302,25.61583,74.028465,23.028801,4.9677553
31,26.21492,14.932743,10.988377,86.798744,20.691328,7.03261
32,7.020685,11.008755,5.426174,65.92719,16.521475,4.840935
33,6.716804,10.737518,4.714939,59.483646,15.452925,4.8886385
34,4.30455,12.60792,3.9467652,59.52971,16.29465,5.568246
35,5.1425023,14.544962,5.256493,64.29846,17.67926,5.5706816
36,5.785153,16.351938,5.4220047,54.893982,19.59792,5.2343426
37,5.4417763,14.601797,4.5434585,56.816795,21.216547,5.7676654
38,8.09275,2.0941541,2.8589237,0.41528955,0.91152817,0.28622156
39,4.7743125,10.858942,4.0807786,69.14465,17.016953,5.142179
40,3.7407095,11.703967,3.5615292,61.790367,17.289114,5.1990714
41,5.0295644,15.032839,4.188329,56.150555,22.181408,5.9033995
42,7.9487824,11.258064,3.9722927,74.816414,20.708214,5.8583617
43,4.641426,12.105215,4.804604,69.442856,17.832762,4.942867
44,4.0267735,11.725919,4.3969526,65.4157,17.220844,4.846607
45,3.7486155,11.350702,3.9792664,61.491856,16.40022,4.868823
46,5.2138257,10.88395,4.5940223,74.578804,16.67901,5.190023
47,64.076035,14.209772,14.089554,116.560555,15.260416,6.424435
48,8.269659,0.97587335,0.92076397,0.34862962,0.08189207,-0.0458145
49,6.073376,1.7632452,2.0091147,0.5325796,0.7763949,0.11282273
50,19.232311,1.58048,1.9400269,0.56690186,0.47249943,0.1213267
51,80.46402,20.796942,18.184042,82.251656,26.71363,5.061423
52,9.067393,11.242191,6.5992494,66.24821,21.375362,5.6787324
53,43.44672,15.042959,17.78468,82.71621,37.724613,6.1447473
54,49.8822,22.93556,31.354597,114.36686,34.63868,6.2163424
55,76.70736,20.992104,29.554184,84.51046,35.41028,5.799627
56,3.6098437,2.5532162,6.781035,3.0265336,0.81910425,0.44992048
57,8.855002,13.537333,9.303993,71.972435,27.565794,5.83317
58,51.63884,16.800657,21.481161,80.40417,35.827946,5.9763436
59,64.91263,27.83349,39.603245,96.52538,31.433887,6.662557
60,56.877163,2.5277743,6.132371,-1.0258639,-0.35713667,0.46635163
61,-0.928279,2.7637641,5.30326,0.7455841,-0.012470186,0.15607283
62,56.10017,24.282331,31.218088,99.333565,27.716902,5.59938
63,171.55312,18.600267,10.519397,27.452042,54.60119,7.026558
64,2.776607,9.465135,5.01586,56.893017,20.401207,5.64538
65,44.360836,22.004414,24.536743,43.912113,30.701353,6.380727
66,149.96748,21.769562,27.951458,1.9074159,123.20331,5.324286
67,64.89209,12.0113325,7.0915627,50.108776,21.551542,5.443234
68,12.359131,14.007507,8.204169,54.33825,20.256813,6.579255
69,30.989313,9.07747,7.3878574,35.843025,13.610196,4.2274966
70,8.301483,9.296996,4.1758738,84.77935,14.518901,5.33849
71,6.493733,8.386275,3.9141798,66.21453,14.56095,5.3371143
72,5.245487,9.896913,5.8916125,73.823425,17.825947,5.612428
73,11.499592,8.678824,4.26261,63.30982,13.35817,5.1057916
74,61.601593,12.201105,10.81365,108.06393,18.029821,6.5058975
75,62.4624,16.375454,17.92219,135.61319,15.934453,6.9578805
76,168.99513,36.4283,43.481712,51.496147,34.076614,8.452025
77,60.22945,29.966566,37.98495,135.61124,24.839067,7.582586
78,55.249043,25.37596,30.768353,114.213036,18.695494,5.8386693
79,47.75607,24.121523,27.044537,121.459175,15.341389,5.672324
80,66.95707,24.409708,30.244322,97.25932,18.870487,6.0620856
81,55.7568,23.277552,26.66725,110.07905,14.930991,5.845702
82,57.012367,23.148066,23.822845,106.20133,16.269823,5.6532493
83,6.6095586,12.136393,5.353542,75.58883,21.560953,6.042918
84,0.27441305,4.45656,2.6498585,0.20747402,-0.0057563186,-0.22692783
85,81.56209,29.819578,39.109272,89.17229,32.852367,8.966
86,0.4101445,3.7881112,1.4518893,0.4756308,-0.73955387,-0.0914994
87,0.54937094,6.056002,2.981478,0.20840028,0.0762282,-0.10492088
88,80.62831,25.18765,31.144545,84.723946,27.970226,7.167542
89,52.21801,19.817142,17.850098,0.112704314,210.89456,5.357275
90,96.46684,15.211132,9.531648,25.594372,28.013298,4.4952564
91,0.6394829,2.9661057,0.6322464,0.3634608,-0.18691915,-0.008023545
92,90.19922,14.869198,12.69691,75.289604,24.480482,7.016971
93,112.55199,36.402206,36.414104,38.579308,70.755554,8.43531
94,106.684814,27.09393,26.206121,-2.3878884,300.9251,6.5602264
95,82.78689,25.189068,23.878819,-1.3493056,295.87918,6.4922442
96,94.296265,20.990797,14.831728,-1.10951,213.99129,5.8990264
97,4.5113206,10.944823,5.08678,4.6248097,34.663067,5.507811
98,6.6400175,11.103369,4.5809565,6.0301685,33.21712,5.071838
99,7.031489,10.753674,4.300488,-0.60431033,23.381704,4.311505
100,5.5445094,9.74659,4.4382415,3.3121176,22.937195,4.5625443
101,4.896065,8.582712,3.972889,5.5480857,14.977357,3.665283
102,3.5582454,12.307461,4.0321865,-0.88266903,34.00845,5.827275
103,4.1728277,10.57011,3.814794,-0.11307045,30.343058,5.115713
104,3.6675963,10.773315,4.449807,9.297993,25.06439,4.616903
105,5.6924,13.555598,4.766008,-0.4483554,27.298864,5.216019
106,4.5115066,14.948643,5.4066525,0.16809335,30.785315,5.363151
107,4.4313354,10.172831,4.174667,8.70814,21.246557,5.117947
108,84.18222,21.919857,14.968578,0.567864,169.98984,5.4890313
109,73.142456,22.014105,16.571627,-0.22646281,181.76587,5.3792896
110,73.71996,21.750618,15.798617,-0.2683625,181.51215,5.414034
111,79.04823,20.729538,13.17212,-1.0823855,182.71353,5.519608
112,79.6969,19.935274,12.301494,-1.1844563,184.8251,5.467349
113,76.34663,20.864939,12.197364,-0.962604,189.5662,5.9495378
114,77.88083,20.892553,12.830577,-0.80992216,183.84767,5.8220806
115,77.91521,20.851175,12.788901,-0.72919077,183.26965,5.8147707
116,78.82526,21.020222,12.989648,-0.8356804,180.76584,5.823548
117,79.20504,21.16702,13.138023,-0.9334764,180.90009,5.84295
118,78.644424,21.438519,13.792472,-0.79672855,179.7309,5.7485943
119,79.71863,20.55942,12.817333,-1.0997126,183.31313,5.5773892
120,78.056244,21.115448,13.187661,-0.9867715,185.24652,5.766418
121,78.067894,21.040182,13.159704,-0.88443893,184.44649,5.7674384
122,77.97519,20.957014,13.030224,-0.7288322,183.77446,5.756385
123,79.21563,21.150349,13.2153635,-0.98269314,180.07607,5.8230796
124,79.94849,21.290525,13.5634165,-0.95162624,179.95326,5.7230134
125,82.83727,20.407831,13.055951,-1.0271437,178.81459,5.306485
126,74.667534,20.840834,12.676284,-0.9178161,187.39285,5.7080646
127,78.01045,21.069088,13.161001,-0.7066516,184.22156,5.732304
128,77.98538,20.994741,12.917895,-0.6245975,183.34485,5.775013
129,79.22519,21.154463,13.258413,-0.996031,179.85663,5.7745857
130,79.26378,21.154665,13.494049,-0.8846778,178.5562,5.7501388
131,78.11183,21.163542,13.348355,-0.72470564,184.89209,5.6895766
132,78.01082,21.028204,13.093343,-0.68303293,183.23654,5.7753124
133,78.79821,21.111181,13.203748,-0.89225835,180.57077,5.7550135
134,79.36145,21.141972,13.41325,-0.98700064,178.34155,5.752657
135,79.31487,21.113382,13.46357,-0.97005576,177.66946,5.744396
136,81.1024,21.297882,13.705813,-0.7135486,176.87117,5.585535
137,78.09438,21.175957,13.408123,-0.67824787,184.59113,5.6710906
138,78.422134,21.083189,13.314792,-0.92675704,181.41292,5.785846
139,79.13678,21.133837,13.272607,-0.9612965,179.5972,5.741421
140,79.11867,21.11493,13.410626,-0.81885,176.67581,5.75681
141,82.223465,21.056707,13.530459,-0.35257313,172.98428,5.3093095
142,78.10683,21.073778,13.487414,-0.7895443,182.6417,5.740106
143,77.88674,21.007265,13.40825,-0.82094663,182.03925,5.7619896
